<generator object PPO.save_probs.<locals>.<genexpr> at 0x00000219FE5DB920>
[  1.90779018   0.95389509 100.        ]
[  2.0667727    0.95389509 100.        ]
[  2.0667727    0.95389509 100.        ]
[  2.70270276   1.11287761 100.        ]
[  2.70270276   1.11287761 100.        ]
[  3.33863282   1.11287761 100.        ]
[  3.02066779   1.11287761 100.        ]
[  3.02066779   1.11287761 100.        ]
[  3.02066779   1.11287761 100.        ]
[  2.70270276   1.11287761 100.        ]
[  1.90779018   1.11287761 100.        ]
[  1.90779018   1.11287761 100.        ]
[  1.90779018   0.95389509 100.        ]
[  1.90779018   0.95389509 100.        ]
[  2.0667727    0.95389509 100.        ]
[  2.0667727    1.11287761 100.        ]
[  2.22575521   1.27186012 100.        ]
[  2.22575521   1.27186012 100.        ]
[  2.22575521   1.27186012 100.        ]
[  2.70270276   1.11287761 100.        ]
[  2.70270276   1.11287761 100.        ]
[  1.90779018   0.95389509 100.        ]
[  1.90779018   1.11287761 100.        ]
[  2.54372025   1.43084264 100.        ]
[  2.54372025   1.43084264 100.        ]
[  2.70270276   1.11287761 100.        ]
[  2.70270276   1.11287761 100.        ]
[  3.33863282   1.11287761 100.        ]
[  2.22575521   1.27186012 100.        ]
[  2.22575521   1.27186012 100.        ]
[  2.22575521   1.27186012 100.        ]
[  1.90779018   0.95389509 100.        ]
[  1.90779018   0.95389509 100.        ]
[  1.90779018   0.95389509 100.        ]
[  1.90779018   0.95389509 100.        ]
[  2.0667727    0.95389509 100.        ]
[  2.0667727    0.95389509 100.        ]
[  2.70270276   1.11287761 100.        ]
[  3.33863282   1.11287761 100.        ]
[  3.33863282   1.11287761 100.        ]
[  3.02066779   1.11287761 100.        ]
[  3.02066779   1.11287761 100.        ]
[  2.70270276   1.11287761 100.        ]
[  2.70270276   1.11287761 100.        ]
[  1.90779018   1.11287761 100.        ]
[  1.90779018   1.11287761 100.        ]
[  1.90779018   0.95389509 100.        ]
[  1.90779018   0.95389509 100.        ]
[  2.0667727    0.95389509 100.        ]
[  2.0667727    1.11287761 100.        ]
[  2.22575521   1.27186012 100.        ]
[  2.22575521   1.27186012 100.        ]
[  2.22575521   1.27186012 100.        ]
[  2.70270276   1.11287761 100.        ]
[  2.70270276   1.11287761 100.        ]
[  2.54372025   1.43084264 100.        ]
[  1.90779018   1.11287761 100.        ]
[  2.54372025   1.43084264 100.        ]
[  2.54372025   1.43084264 100.        ]
[  2.70270276   1.11287761 100.        ]
[  2.70270276   1.11287761 100.        ]
[  2.70270276   1.11287761 100.        ]
[  2.22575521   1.27186012 100.        ]
[  2.22575521   1.27186012 100.        ]
[  2.22575521   1.27186012 100.        ]
[  1.90779018   0.95389509 100.        ]
[  1.90779018   0.95389509 100.        ]
[  1.90779018   0.95389509 100.        ]
[  1.90779018   0.95389509 100.        ]
[  2.0667727    0.95389509 100.        ]
[  2.0667727    0.95389509 100.        ]
[  2.70270276   1.11287761 100.        ]
[  3.33863282   1.11287761 100.        ]
[  3.33863282   1.11287761 100.        ]
[  3.02066779   1.11287761 100.        ]
[  3.02066779   1.11287761 100.        ]
[  2.70270276   1.11287761 100.        ]
[  2.70270276   1.11287761 100.        ]
[  1.90779018   0.95389509 100.        ]
[  1.90779018   0.95389509 100.        ]
[  1.90779018   0.95389509 100.        ]
[  1.90779018   0.95389509 100.        ]
[  2.0667727    0.95389509 100.        ]
[  2.0667727    1.11287761 100.        ]
[  2.22575521   1.27186012 100.        ]
[  2.22575521   1.27186012 100.        ]
[  2.22575521   1.27186012 100.        ]
[  2.70270276   1.11287761 100.        ]
[  2.70270276   1.11287761 100.        ]
[  2.54372025   1.43084264 100.        ]
[  1.90779018   1.11287761 100.        ]
[  2.54372025   1.43084264 100.        ]
[  2.54372025   1.43084264 100.        ]
[  2.70270276   1.11287761 100.        ]
[  2.70270276   1.11287761 100.        ]
[  2.22575521   1.27186012 100.        ]
[  2.22575521   1.27186012 100.        ]
[  2.22575521   1.27186012 100.        ]
[  1.90779018   1.11287761 100.        ]
[  1.90779018   0.95389509 100.        ]
[  1.90779018   0.95389509 100.        ]
[  1.90779018   0.95389509 100.        ]
[  2.0667727    0.95389509 100.        ]
[  2.0667727    0.95389509 100.        ]
[  2.70270276   1.11287761 100.        ]
[  2.70270276   1.11287761 100.        ]
[  3.33863282   1.11287761 100.        ]
[  3.33863282   1.11287761 100.        ]
[  3.02066779   1.11287761 100.        ]
[  3.02066779   1.11287761 100.        ]
[  2.70270276   1.11287761 100.        ]
[  2.70270276   1.11287761 100.        ]
[  1.90779018   0.95389509 100.        ]
[  1.90779018   0.95389509 100.        ]
[  1.90779018   0.95389509 100.        ]
[  1.90779018   0.95389509 100.        ]
[  2.0667727    0.95389509 100.        ]
[  2.22575521   1.27186012 100.        ]
[  2.22575521   1.27186012 100.        ]
[  2.22575521   1.27186012 100.        ]
[  2.22575521   1.27186012 100.        ]
[  2.70270276   1.11287761 100.        ]
[  2.70270276   1.11287761 100.        ]
[  2.54372025   1.43084264 100.        ]
[  2.54372025   1.43084264 100.        ]
