<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x00000224BF92FBC0>
[-67.56890869 -79.81808472 -63.86990356]
[-67.56890869 -79.81808472 -63.86990356]
[-65.507164   -79.81808472 -62.35391235]
[-67.02315521 -79.75743866 -56.59316254]
[-64.1730957  -79.75743866 -60.534729  ]
[-63.74861908 -79.75743866 -59.3825798 ]
[-63.74861908 -79.75743866 -59.3825798 ]
[-60.35281372 -79.75743866 -63.26350403]
[-57.44211578 -79.81808472 -71.08599854]
[-58.35170746 -79.81808472 -73.93605042]
[-52.95479584 -79.81808472 -71.63175201]
[-60.11025238 -79.81808472 -70.66152191]
[-61.80815887 -79.75743866 -63.50606537]
[-68.23594666 -79.75743866 -59.07938385]
[-73.02645874 -79.81808472 -54.28886414]
[-75.027565   -80.         -48.58875275]
[-74.96692657 -80.         -55.68357086]
[-73.08709717 -79.93936157 -47.37596512]
[-67.87210846 -79.93936157 -52.83351898]
[-57.98786926 -79.6361618  -62.89966965]
[-55.07717896 -79.69680023 -72.90518188]
[-52.95479584 -79.81808472 -77.14994812]
[-51.62072754 -79.81808472 -76.60418701]
[-41.31201935 -79.75743866 -73.14774323]
[-52.65159607 -79.75743866 -63.68798065]
[-64.41565704 -79.75743866 -48.40683746]
[-74.90628052 -80.         -42.88864517]
[-75.87651825 -80.         -49.43770599]
[-76.66482544 -79.93936157 -54.95589828]
[-74.23925018 -79.93936157 -41.7971344 ]
[-68.53913879 -79.81808472 -40.22050858]
[-56.77508545 -79.15104675 -51.43880844]
[-43.98015594 -79.39360809 -64.84013367]
[-46.7695694  -79.69680023 -75.87651825]
[-49.25579071 -79.81808472 -77.14994812]
[-40.15986633 -79.75743866 -75.57331848]
[-32.57993317 -79.75743866 -68.66041565]
[-41.91841125 -79.75743866 -56.83572388]
[-60.47409058 -79.69680023 -39.06835556]
[-74.17861176 -79.93936157 -31.3065033 ]
[-77.63506317 -80.         -41.06945801]
[-76.96802521 -80.         -51.49945068]
[-75.33076477 -79.87872314 -32.45865631]
[-70.05513    -79.81808472 -31.24586487]
[-60.11025238 -78.6659317  -33.61080551]
[-41.91841125 -78.72657013 -50.83241272]
[-33.97463989 -79.33296204 -65.8710022 ]
[-40.6449852  -79.69680023 -75.87651825]
[-44.95038605 -79.81808472 -76.7254715 ]
[-35.91510391 -79.69680023 -74.72436523]
[-29.30540085 -79.75743866 -71.3891983 ]
[-25.         -79.69680023 -63.32414627]
[-47.19404602 -79.69680023 -42.03969193]
[-66.29547882 -79.6361618  -26.3340683 ]
[-73.51157379 -79.93936157 -25.        ]
[-77.57442474 -80.         -46.10253525]
[-77.39250183 -79.93936157 -34.88423538]
[-75.63395691 -79.87872314 -33.73208237]
[-71.75302887 -79.81808472 -29.54796219]
[-63.02095032 -77.3318634  -29.24476242]
[-57.74531555 -73.02645874 -49.68026733]
[-47.01212692 -77.93825531 -59.32194138]
[-50.4079361  -79.57552338 -69.87320709]
[-46.34509277 -79.75743866 -71.57111359]
[-33.85336304 -79.69680023 -69.75193024]
[-41.19073868 -79.51488495 -60.47409058]
[-55.01654053 -79.75743866 -46.7695694 ]
[-68.05402374 -79.87872314 -28.88092422]
[-73.99668884 -79.93936157 -25.24255753]
[-75.69459534 -79.93936157 -31.91289902]
[-76.48291016 -80.         -53.37927246]
[-75.51268005 -79.93936157 -28.09261322]
[-74.84564209 -79.81808472 -25.        ]
