<generator object TPPO.save_probs.<locals>.<genexpr> at 0x00000149A9D869D0>
[ 6.78175116 26.01726341]
[16.02959251  5.5487051 ]
[ 6.78175116 26.01726341]
[16.02959251  5.5487051 ]
[ 6.28853273 27.74352646]
[16.02959251  5.5487051 ]
[ 6.28853273 27.74352646]
[16.02959251  5.5487051 ]
[ 7.76818752 16.64611626]
[19.35881615  5.30209637]
[ 7.76818752 20.09864426]
[13.31689262  6.04192352]
[13.68680668 14.1800251 ]
[13.31689262  6.04192352]
[13.68680668 14.1800251 ]
[26.63378525  5.17879152]
[13.68680668 14.1800251 ]
[26.63378525  5.17879152]
[17.87916183 10.97410583]
[10.23427868 15.78298378]
[ 7.76818752 20.09864426]
[13.31689262  6.04192352]
[13.68680668 14.1800251 ]
[26.63378525  5.17879152]
[13.68680668 14.1800251 ]
[26.63378525  5.17879152]
[17.87916183 10.97410583]
[10.23427868 15.78298378]
[ 9.49445152 20.34525299]
[13.31689262  6.04192352]
[16.64611626 14.5499382 ]
[10.23427868 15.78298378]
[ 9.49445152 20.34525299]
[13.31689262  6.04192352]
[ 9.49445152 20.34525299]
[13.31689262  6.04192352]
[16.64611626 14.5499382 ]
[ 7.2749691  20.96177483]
[ 6.53514194 31.19605446]
[9.61775589 6.78175116]
[ 7.76818752 20.09864426]
[13.31689262  6.04192352]
[ 7.76818752 20.09864426]
[13.31689262  6.04192352]
[13.68680668 14.1800251 ]
[26.63378525  5.17879152]
[13.68680668 14.1800251 ]
[26.63378525  5.17879152]
[17.87916183 10.97410583]
[10.23427868 15.78298378]
[16.64611626 14.5499382 ]
[ 7.2749691  20.96177483]
[ 6.53514194 31.19605446]
[9.61775589 6.78175116]
[ 9.49445152 20.34525299]
[13.31689262  6.04192352]
[ 7.76818752 20.09864426]
[13.31689262  6.04192352]
[13.68680668 14.1800251 ]
[26.63378525  5.17879152]
[13.68680668 14.1800251 ]
[26.63378525  5.17879152]
[19.11220741  8.01479626]
[10.23427868  9.98766994]
[ 7.02835989 22.93464851]
[ 5.5487051  31.81257629]
[ 6.53514194 31.19605446]
[9.61775589 6.78175116]
[ 5.91861916 33.66214371]
[9.61775589 6.78175116]
[ 5.91861916 33.66214371]
[9.61775589 6.78175116]
[ 6.04192352 19.60542488]
[9.24784184 6.04192352]
[ 6.04192352 19.60542488]
[6.04192352 6.16522789]
[16.89272499  5.5487051 ]
[14.42663383  4.31565952]
[12.33045578 10.60419273]
[10.23427868  9.98766994]
[ 7.2749691  13.31689262]
[ 6.04192352 17.50924873]
[ 4.80887794 19.35881615]
[4.93218231 7.39827394]
[16.89272499  5.5487051 ]
[6.04192352 6.16522789]
[16.89272499  5.5487051 ]
[8.50801468 5.5487051 ]
[ 7.64488268 13.19358826]
[8.50801468 5.5487051 ]
[ 7.64488268 13.19358826]
[8.50801468 5.5487051 ]
