0.001312,0.043849,0.037802,0.031941
0.002189,0.238409,0.038440,-0.248579
0.006957,0.432962,0.033469,-0.528894
0.015617,0.627597,0.022891,-0.810845
0.028169,0.432169,0.006674,-0.511051
0.036812,0.236954,-0.003547,-0.216272
0.041551,0.041883,-0.007872,0.075290
0.042389,-0.153125,-0.006367,0.365478
0.039326,0.042087,0.000943,0.070795
0.040168,-0.153049,0.002359,0.363775
0.037107,0.042040,0.009634,0.071837
0.037948,0.237022,0.011071,-0.217791
0.042688,0.431984,0.006715,-0.506961
0.051328,0.236768,-0.003424,-0.212170
0.056063,0.041695,-0.007667,0.079431
0.056897,0.236926,-0.006079,-0.215661
0.061636,0.041892,-0.010392,0.075098
0.062474,-0.153080,-0.008890,0.364485
0.059412,0.042167,-0.001600,0.069012
0.060255,0.237312,-0.000220,-0.224176
0.065002,0.432437,-0.004704,-0.516928
0.073650,0.627625,-0.015042,-0.811089
0.086203,0.822950,-0.031264,-1.108466
0.102662,1.018469,-0.053433,-1.410790
0.123031,1.214211,-0.081649,-1.719687
0.147315,1.410168,-0.116043,-2.036621
0.175519,1.606278,-0.156775,-2.362848
0.207644,1.412863,-0.204032,-2.122186
-0.004392,0.037912,0.035453,-0.004717
-0.003633,-0.157700,0.035358,0.298937
-0.006787,-0.353308,0.041337,0.602558
-0.013854,-0.548983,0.053388,0.907970
-0.024833,-0.744785,0.071548,1.216944
-0.039729,-0.550655,0.095887,0.947511
-0.050742,-0.356946,0.114837,0.686429
-0.057881,-0.163590,0.128565,0.431993
-0.061153,-0.360276,0.137205,0.762281
-0.068358,-0.556994,0.152451,1.094797
-0.079498,-0.753759,0.174347,1.431168
-0.094573,-0.950551,0.202970,1.772880
-0.036230,-0.021021,0.045557,0.028144
-0.036650,0.173419,0.046120,-0.249824
-0.033182,0.367853,0.041124,-0.527611
-0.025825,0.562373,0.030572,-0.807057
-0.014577,0.366846,0.014430,-0.504916
-0.007240,0.171523,0.004332,-0.207721
-0.003810,0.366583,0.000178,-0.499034
0.003522,0.171458,-0.009803,-0.206295
0.006951,0.366719,-0.013929,-0.502054
0.014285,0.562035,-0.023970,-0.799094
0.025526,0.367250,-0.039952,-0.514047
0.032871,0.172712,-0.050233,-0.234217
0.036325,-0.021657,-0.054917,0.042207
0.035892,-0.215950,-0.054073,0.317070
0.031573,-0.020102,-0.047732,0.007837
0.031171,-0.214508,-0.047575,0.285086
0.026881,-0.018741,-0.041873,-0.022214
0.026506,0.176956,-0.042317,-0.327809
0.030045,-0.017539,-0.048874,-0.048765
0.029695,-0.211927,-0.049849,0.228106
0.025456,-0.016129,-0.045287,-0.079875
0.025133,0.179612,-0.046884,-0.386495
0.028726,-0.014815,-0.054614,-0.108956
0.028429,-0.209113,-0.056793,0.166009
0.024247,-0.403378,-0.053473,0.440248
0.016180,-0.597704,-0.044668,0.715607
0.004225,-0.401993,-0.030356,0.409206
-0.003814,-0.206454,-0.022172,0.107109
-0.007944,-0.011022,-0.020030,-0.192486
-0.008164,-0.205852,-0.023879,0.093812
-0.012281,-0.400623,-0.022003,0.378866
-0.020293,-0.205196,-0.014426,0.079328
-0.024397,-0.009870,-0.012839,-0.217871
-0.024595,0.185433,-0.017197,-0.514576
-0.020886,0.380793,-0.027488,-0.812629
-0.013270,0.576280,-0.043741,-1.113829
-0.001745,0.381759,-0.066017,-0.835182
0.005891,0.187598,-0.082721,-0.563971
0.009642,-0.006272,-0.094000,-0.298452
0.009517,-0.199937,-0.099970,-0.036833
