<generator object PPO.save_probs.<locals>.<genexpr> at 0x0000024AFFE8B990>
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[ 97.61526489  92.36884308 100.        ]
[ 87.91732788  83.62480164 100.        ]
[ 94.91255951  89.50715637 100.        ]
[ 87.59936523  89.03020477 100.        ]
[ 75.35771179  77.42448425 100.        ]
[65.65977478 78.37837982 98.88712311]
[65.65977478 78.37837982 98.88712311]
[75.67567444 89.03020477 97.29729462]
[ 87.44038391  93.79968262 100.        ]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[ 96.82035065  96.502388   100.        ]
[ 86.48648834  88.5532608  100.        ]
[ 80.76311493  81.08107758 100.        ]
[ 91.09697723  85.6915741  100.        ]
[ 72.65500641  80.60413361 100.        ]
[61.52623367 71.22416687 99.52305603]
[62.95707321 79.17329407 98.25119019]
[71.38314819 87.28140259 96.82035065]
[79.17329407 95.38950348 98.72814178]
[ 91.89189148  98.41017151 100.        ]
[100. 100. 100.]
[100. 100. 100.]
[ 99.36406708  98.09220886 100.        ]
[ 88.0763092   91.09697723 100.        ]
[ 79.01430511  78.2193985  100.        ]
[ 84.26073456  80.12718964 100.        ]
[ 76.15262604  78.06040955 100.        ]
[61.52623367 71.22416687 99.52305603]
[ 61.52623367  76.94753265 100.        ]
[71.22416687 90.30206299 98.56916046]
[ 79.17329407  98.09220886 100.        ]
[ 96.0254364 100.        100.       ]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[ 99.04610443  99.84101868 100.        ]
[ 87.44038391  86.64546967 100.        ]
[ 84.89665985  83.30683899 100.        ]
[ 84.26073456  79.49125671 100.        ]
[ 65.97774506  75.35771179 100.        ]
[ 63.434021    76.94753265 100.        ]
[ 61.84419632  75.35771179 100.        ]
[ 69.95230865  85.85055542 100.        ]
[ 78.85532379  96.82035065 100.        ]
[ 93.00476837 100.         100.        ]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[ 96.66136932  99.20508575 100.        ]
[ 91.25595856  87.12241364 100.        ]
[ 81.7170105   78.37837982 100.        ]
[ 94.43561554  88.71224213 100.        ]
[ 78.85532379  80.12718964 100.        ]
[ 68.36248016  81.7170105  100.        ]
[ 65.81876373  80.92209625 100.        ]
[ 77.42448425  88.23529053 100.        ]
[ 86.32750702  97.61526489 100.        ]
[ 89.50715637  98.88712311 100.        ]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[ 94.75357819  93.00476837 100.        ]
[ 81.7170105   78.37837982 100.        ]
[ 79.96820068  80.44515228 100.        ]
[ 75.99363708  82.1939621  100.        ]
[ 68.36248016  81.7170105  100.        ]
[ 64.86486816  78.69634247 100.        ]
[ 70.2702713   84.26073456 100.        ]
[ 77.58346558  88.71224213 100.        ]
[ 89.1891861 100.        100.       ]
[ 89.6661377 100.        100.       ]
[ 94.59459686 100.         100.        ]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[100. 100. 100.]
[ 92.36884308  95.07154083 100.        ]
[ 84.41971588  87.28140259 100.        ]
[ 83.78378296  82.67090607 100.        ]
[ 83.30683899  80.92209625 100.        ]
[ 89.6661377   86.64546967 100.        ]
[ 72.81398773  78.2193985  100.        ]
[ 68.68044281  78.53736115 100.        ]
[ 66.13672638  80.12718964 100.        ]
[ 74.56279755  86.00953674 100.        ]
[ 81.55802917  86.64546967 100.        ]
[ 93.16374969  94.91255951 100.        ]
[ 90.14308167  92.68680573 100.        ]
[ 90.46105194  90.30206299 100.        ]
[100. 100. 100.]
[ 94.91255951  88.71224213 100.        ]
[ 81.08107758  85.6915741  100.        ]
[ 91.89189148  92.84578705 100.        ]
[ 96.66136932  93.95866394 100.        ]
[ 92.5278244   89.34817505 100.        ]
[ 87.75834656  82.03497314 100.        ]
[ 74.08585358  76.94753265 100.        ]
[ 72.97297668  75.99363708 100.        ]
[ 75.83465576  79.33227539 100.        ]
[ 68.68044281  78.53736115 100.        ]
[ 78.69634247  89.03020477 100.        ]
[ 88.39427948  89.98410034 100.        ]
[ 92.5278244   91.41494751 100.        ]
[ 83.78378296  81.87599182 100.        ]
[ 79.17329407  83.46582031 100.        ]
[ 91.25595856  89.98410034 100.        ]
[100.          96.66136932 100.        ]
[100.          95.07154083 100.        ]
[ 87.28140259  84.73767853 100.        ]
[ 80.60413361  85.05564117 100.        ]
[ 82.03497314  80.92209625 100.        ]
[ 86.80445099  82.82988739 100.        ]
[ 65.18283081  78.37837982 100.        ]
