<generator object TMQN.save_q_vals.<locals>.<genexpr> at 0x0000022B58437DF0>
[30.         31.40186882]
[30.93457985 30.09345818]
[31.21495438 33.45794296]
[33.27102661 30.84112167]
[31.21495438 33.45794296]
[33.27102661 30.84112167]
[31.21495438 33.45794296]
[33.27102661 30.84112167]
[31.21495438 33.45794296]
[33.27102661 30.84112167]
[32.71028137 33.17757034]
[33.27102661 30.84112167]
[32.71028137 33.17757034]
[33.36448669 30.09345818]
[32.71028137 33.17757034]
[33.36448669 30.09345818]
[33.7383194  30.28037262]
[29.34579468 34.11214828]
[32.71028137 33.17757034]
[33.27102661 30.84112167]
[32.71028137 33.17757034]
[33.36448669 30.09345818]
[32.71028137 33.17757034]
[33.36448669 30.09345818]
[33.7383194  30.28037262]
[29.34579468 34.11214828]
[31.21495438 33.45794296]
[33.27102661 30.84112167]
[32.71028137 33.17757034]
[33.36448669 30.09345818]
[32.71028137 33.17757034]
[33.36448669 30.09345818]
[32.33644867 32.33644867]
[28.87850571 33.45794296]
[31.495327   33.36448669]
[33.64485931 30.        ]
[32.33644867 32.33644867]
[28.03738403 32.14953232]
[31.495327   33.36448669]
[33.64485931 30.        ]
[31.495327   33.36448669]
[33.64485931 30.        ]
[31.495327   33.36448669]
[33.64485931 30.        ]
[31.495327   33.36448669]
[33.64485931 30.        ]
[32.33644867 32.33644867]
[28.03738403 32.14953232]
[31.495327   33.36448669]
[33.64485931 30.        ]
[31.495327   33.36448669]
[33.64485931 30.        ]
[31.495327   33.36448669]
[33.64485931 30.        ]
[31.495327   33.36448669]
[33.64485931 30.        ]
[31.495327   33.36448669]
[32.33644867 30.46728897]
[30.65420532 32.33644867]
[32.33644867 30.46728897]
[30.65420532 32.33644867]
[32.33644867 30.46728897]
[30.65420532 32.33644867]
[32.33644867 30.46728897]
[30.65420532 32.33644867]
[32.33644867 30.46728897]
[30.65420532 32.33644867]
[32.33644867 30.46728897]
[30.65420532 32.33644867]
[32.33644867 30.46728897]
[30.65420532 32.33644867]
[32.33644867 30.46728897]
[30.65420532 32.33644867]
[32.33644867 30.46728897]
[30.65420532 32.33644867]
[32.33644867 30.46728897]
[30.65420532 32.33644867]
[32.33644867 30.46728897]
[30.65420532 32.33644867]
[31.40186882 29.90654182]
[30.65420532 32.33644867]
[31.40186882 29.90654182]
[29.90654182 30.7476635 ]
[31.40186882 29.90654182]
[29.90654182 30.7476635 ]
[31.40186882 29.90654182]
[29.90654182 30.7476635 ]
[31.40186882 29.90654182]
[29.90654182 30.7476635 ]
[30.18691635 31.21495438]
[31.02803802 27.75700951]
[30.18691635 31.21495438]
[32.05607605 28.59813118]
[30.18691635 31.21495438]
[32.05607605 28.59813118]
[30.56074905 31.30841064]
[32.05607605 28.59813118]
[31.21495438 31.58878517]
[30.46728897 27.66355133]
[29.71962738 30.09345818]
[30.46728897 27.66355133]
[29.71962738 30.09345818]
[30.46728897 27.66355133]
[29.71962738 30.09345818]
[30.46728897 27.66355133]
[29.81308365 28.22430038]
[28.03738403 28.31775665]
[29.71962738 30.09345818]
[30.46728897 27.66355133]
[29.71962738 30.09345818]
[30.46728897 27.66355133]
[29.71962738 30.09345818]
[30.46728897 27.66355133]
[29.81308365 28.22430038]
[28.03738403 28.31775665]
[29.71962738 30.09345818]
[30.46728897 27.66355133]
[29.71962738 30.09345818]
[30.46728897 27.66355133]
[29.71962738 30.09345818]
[30.46728897 27.66355133]
[29.71962738 30.09345818]
[30.46728897 27.66355133]
[29.81308365 28.22430038]
[27.57009315 29.15887833]
[29.71962738 30.09345818]
[30.46728897 27.66355133]
[29.71962738 30.09345818]
[30.46728897 27.66355133]
[29.71962738 30.09345818]
[30.46728897 27.66355133]
[29.71962738 30.09345818]
[30.46728897 27.66355133]
[29.71962738 30.09345818]
[30.09345818 28.1308403 ]
[28.97196198 28.31775665]
[27.57009315 29.15887833]
[29.15887833 28.69158936]
[27.57009315 28.59813118]
[29.15887833 28.69158936]
[27.57009315 28.59813118]
[29.15887833 28.69158936]
[27.57009315 28.59813118]
[29.15887833 28.69158936]
[27.57009315 28.59813118]
[27.28971863 26.44859695]
[26.26168251 25.98130798]
[25.42056084 25.51401901]
[26.26168251 25.98130798]
[25.42056084 25.51401901]
[26.26168251 25.98130798]
[25.42056084 25.51401901]
[26.26168251 25.98130798]
[25.42056084 25.51401901]
