tm1,tm2,steps
10,5,127
7,7,141
2,11,154
13,19,186
13,10,209
7,7,223
8,10,241
6,9,256
5,10,271
8,13,292
7,7,306
15,10,331
14,8,353
28,36,417
15,12,444
16,18,478
13,10,501
11,3,515
18,22,555
8,12,575
13,13,601
7,16,624
12,13,649
9,4,662
3,10,675
12,19,706
10,3,719
17,23,759
9,2,770
8,7,785
8,9,802
7,15,824
9,12,845
14,18,877
8,10,895
13,11,919
6,10,935
15,12,962
5,8,975
7,11,993
4,10,1007
7,7,1021
4,8,1033
5,8,1046
14,20,1080
2,8,1090
22,28,1140
12,6,1158
8,3,1169
12,6,1187
15,16,1218
5,7,1230
6,8,1244
10,17,1271
3,9,1283
15,18,1316
17,21,1354
14,21,1389
8,11,1408
24,19,1451
7,6,1464
20,13,1497
3,7,1507
6,9,1522
8,5,1535
21,15,1571
6,10,1587
15,15,1617
7,3,1627
11,5,1643
21,13,1677
7,10,1694
40,36,1770
9,12,1791
6,10,1807
11,3,1821
13,17,1851
5,9,1865
10,8,1883
13,9,1905
9,15,1929
4,10,1943
11,6,1960
23,21,2004
8,3,2015
9,4,2028
9,15,2052
6,11,2069
8,8,2085
5,7,2097
21,20,2138
3,10,2151
25,32,2208
12,7,2227
19,19,2265
18,23,2306
15,7,2328
7,2,2337
10,4,2351
24,14,2389
4,9,2402
11,7,2420
7,3,2430
6,10,2446
10,13,2469
7,6,2482
8,14,2504
11,8,2523
18,16,2557
31,33,2621
4,12,2637
13,13,2663
32,31,2726
19,23,2768
14,10,2792
15,23,2830
10,12,2852
10,6,2868
13,8,2889
18,25,2932
10,8,2950
6,10,2966
8,8,2982
29,19,3030
20,16,3066
28,20,3114
8,11,3133
7,14,3154
32,23,3209
11,9,3229
13,6,3248
10,5,3263
29,33,3325
7,8,3340
13,8,3361
7,9,3377
9,2,3388
4,9,3401
14,6,3421
12,17,3450
13,11,3474
7,2,3483
11,8,3502
13,17,3532
9,4,3545
4,8,3557
9,9,3575
15,13,3603
9,5,3617
26,19,3662
39,38,3739
13,11,3763
16,18,3797
7,6,3810
17,19,3846
14,12,3872
9,8,3889
29,17,3935
10,4,3949
6,8,3963
14,15,3992
20,23,4035
27,28,4090
11,20,4121
13,11,4145
20,15,4180
8,2,4190
13,12,4215
20,23,4258
13,10,4281
16,11,4308
7,4,4319
22,22,4363
14,15,4392
7,9,4408
7,9,4424
8,5,4437
7,10,4454
3,8,4465
18,19,4502
20,19,4541
17,13,4571
3,9,4583
11,11,4605
9,2,4616
1,8,4625
8,7,4640
13,11,4664
6,4,4674
9,10,4693
17,17,4727
7,6,4740
9,10,4759
8,14,4781
12,16,4809
44,42,4895
18,17,4930
9,3,4942
11,12,4965
3,10,4978
50,44,5072
11,18,5101
18,17,5136
20,22,5178
30,37,5245
31,31,5307
28,28,5363
18,21,5402
11,9,5422
24,23,5469
10,9,5488
9,7,5504
27,20,5551
10,8,5569
13,3,5585
10,4,5599
5,11,5615
16,20,5651
10,11,5672
35,27,5734
3,7,5744
27,25,5796
32,32,5860
23,16,5899
13,17,5929
16,18,5963
21,22,6006
32,26,6064
14,12,6090
14,11,6115
12,13,6140
6,7,6153
4,11,6168
20,20,6208
